CustomerID,total_price
12346.0,0.0
12347.0,4310.0
12348.0,1797.24
12349.0,1757.55
12350.0,334.4
12352.0,1545.41
12353.0,89.0
12354.0,1079.4
12355.0,459.4
12356.0,2811.43
12357.0,6207.67
12358.0,1168.06
12359.0,6245.53
12360.0,2662.06
12361.0,189.9
12362.0,5154.58
12363.0,552.0
12364.0,1313.1
12365.0,320.69
12367.0,168.9
12370.0,3545.69
12371.0,1887.96
12372.0,1298.04
12373.0,364.6
12374.0,742.9300000000001
12375.0,455.42
12377.0,1628.12
12378.0,4008.62
12379.0,850.29
12380.0,2720.56
12381.0,1803.96
12383.0,1839.31
12384.0,566.16
12386.0,401.9
12388.0,2780.66
12390.0,549.84
12391.0,460.89
12393.0,1582.6000000000001
12394.0,1272.48
12395.0,2998.28
12397.0,2409.9
12398.0,1635.6599999999999
12399.0,1108.65
12401.0,84.3
12402.0,225.6
12403.0,409.7
12405.0,1710.39
12406.0,3280.75
12407.0,1708.1200000000001
12408.0,2842.57
12409.0,11056.93
12410.0,681.0799999999999
12412.0,1226.88
12413.0,694.15
12414.0,562.41
12415.0,123725.45
12417.0,3578.8
12418.0,668.58
12420.0,600.39
12421.0,806.27
12422.0,803.5600000000001
12423.0,1849.11
12424.0,1760.96
12425.0,777.2
12426.0,582.73
12427.0,708.37
12428.0,7877.2
12429.0,3750.4
12430.0,256.4
12431.0,6416.39
12432.0,5059.32
12433.0,13375.87
12434.0,765.19
12435.0,7829.89
12436.0,509.01
12437.0,4896.66
12438.0,2906.85
12441.0,173.55
12442.0,172.06
12444.0,5005.46
12445.0,133.4
12446.0,1002.3100000000001
12447.0,476.49
12448.0,449.45
12449.0,4067.29
12450.0,197.88
12451.0,8933.52
12452.0,428.57
12453.0,707.09
12454.0,5.684341886080802e-14
12455.0,2466.86
12456.0,3153.89
12457.0,1917.78
12458.0,947.4
12461.0,826.88
12462.0,1124.01
12463.0,1303.63
12464.0,1212.05
12465.0,733.89
12468.0,724.0400000000001
12471.0,18740.92
12472.0,6229.48
12473.0,2848.23
12474.0,7116.47
12475.0,723.38
12476.0,6546.58
12477.0,13117.01
12478.0,680.99
12479.0,477.3
12480.0,3281.63
12481.0,5590.86
12483.0,2327.13
12484.0,4495.27
12488.0,1298.66
12489.0,334.93
12490.0,5417.93
12491.0,460.40000000000003
12492.0,263.21000000000004
